er_end,er_open,er_high,er_low,consumer,oil_dubai,oil_brent,oil_WTI,oil_oman,patients
1171.53,1164.9,1172.95,1150.89,0.7,45.87,49.77,48.98,46.25,0
1170.46,1171.1,1182.2,1165.89,0.7,47.59,51.4,50.18,47.97,0
1171.95,1170.25,1181.1,1140.67,0.7,45.77,49.1,47.91,46.15,0
1150,1172.26,1189.3,1143.89,0.7,46.4,50.09,49.02,46.77,0
1149.8,1151.75,1169.9,1145.07,0.4,45.41,49.28,48.28,45.82,0
1138.6,1148.95,1152.81,1129.39,0.4,44.87,48,46.15,45.35,0
1136.35,1137.65,1144.76,1133.57,0.4,42.57,47.19,45.59,43.24,0
1112.24,1136.8,1144.44,1111.44,0.4,42.44,46.54,44.75,43.13,0
1115.27,1111.45,1120.3,1102.79,0.4,40.17,43.64,42.14,41.08,0
1103.49,1116.15,1118.11,1092.45,0.5,39.73,43.12,40.83,40.55,0
1115.57,1103.15,1123.54,1089.6,0.5,41.58,45.49,43.1,42.41,0
1122.52,1116.65,1129.61,1107.45,0.5,45.99,49.84,47.17,46.79,0
1116.45,1123.06,1129.31,1108.44,0.5,45.68,49.55,47.38,46.53,0
1108.73,1116.69,1117.35,1086.71,1.3,44.29,47.39,45.13,45.1,0
1126.06,1109.9,1134.36,1106.99,1.3,44.33,48.17,45.96,45.09,0
1104.02,1125.89,1126.4,1097.08,1.3,42.91,46.73,44.34,43.73,0
1101.91,1104.35,1113.9,1091.6,1.3,42.89,46.44,44.58,43.5,0
1115.76,1101.81,1118.83,1099.34,1.3,43.48,48.06,46.74,44.16,0
1136.41,1115.81,1138.61,1107.49,1.5,48.67,51.61,49.52,49.38,0
1136.21,1136.61,1144.51,1118.69,1.5,49.58,52.27,50.62,50.36,0
1147.32,1136.15,1149.94,1128.83,1.5,49.3,51.81,50.62,50.1,0
1141.45,1147.27,1153.01,1136.56,1.5,48.63,50.48,49.62,49.39,0
1165.58,1141.45,1171.77,1128.06,1.5,44.66,47.05,45.52,45.46,0
1181.08,1165.4,1186.89,1163.67,1.5,43.1,45.83,44.64,43.8,0
1175.77,1181.08,1187.8,1168.65,1.5,42.73,46.27,45.16,43.42,0
1167.32,1175.69,1179.78,1164.69,1.5,45.65,48.64,47.38,46.38,0
1172.89,1172.7,1176.63,1156.8,1.3,46.39,50.7,48.9,47.06,0
1186.58,1172.91,1189.38,1162.36,1.3,51.05,54.02,50.97,51.91,0
1200.36,1186.44,1207.76,1183.71,1.3,52.61,54.91,51.93,53.43,0
1207.26,1200.36,1215.11,1198.05,1.3,52.36,54.99,52.56,53.21,0
