goodId,goodName
5,가그린 레귤러
11,매일우유 오리지널(ESL)(1000ml)
15,오비골든라거(단품)
24,마일드참치(묶음)
30,Neut.핸드크림
31,CJ 참그린 
35,해표 꽃소금
104,도브 뷰티바
111,칩포테이토 오리지날
113,아이비
217,JB 뉴 베드타임 로션
522,잘풀리는집 보습미용티슈
523,썬 부탄가스
524,알프스가스
533,청정원 우리쌀 크림스프
536,청정원 순창 쌈장
538,게토레이 레몬
545,스타벅스 커피라떼
548,매일 카페라떼 마일드
161,뼈로가는 칼슘두유 담백한맛
168,생야채돼지고기물만두(400g*2봉)
36,웰빙 다시다 산들애 국내산해물
44,오비골든라거 6캔
53,고소한국산콩두부(부침용)(대상)
59,롯데슬라이스햄
61,참작 참잘만든 슬라이스햄
62,프레시안삼호부산어묵
63,싱싱맛살
67,국산아작아작콩나물
69,푸드림 하얀설탕
87,델몬트 스카시플러스 100
265,참이슬 클래식
98,롯데호일(25cm x 30m)
102,하선정 숯 김밥단무지
251,대림게맛살큰잔치
252,마일드참치(단품)
254,맑고신선한해표식용유
255,백설국내콩기름
257,백설 하얀설탕
258,맥심모카골드
267,알뜨랑비누 핑크
269,남양유업 맛있는우유GT(1000ml)
242,백설부침가루(1kg)
127,뽑아쓰는 크린백
223,오리지널 요플레(4개묶음)
225,고소한참기름(오뚜기)
228,옛날당면
229,진간장 금F3
230,고소한골드마요네즈(오뚜기)
233,카스 프레쉬 6캔
234,백설 중력밀가루(1kg)
235,큐원 영양강화밀가루(1kg)
237,삼양라면 5개입
238,진라면(순한맛) 5개입
239,옛날국수소면
241,포스트 콘푸라이트(600g)
144,하림 토종닭백숙(1050g)
148,비타파워
162,동원양반포기김치(2.2kg)
163,Dr. ato(민감성건성피부보습)
298,3분 쇠고기 카레
321,칸타타 원두커피 프리미엄 블렌드(275ml)
322,벡셀AA*2입
174,비타500(묶음)
302,배추
180,페브리즈 깨끗한 무향(900)
305,3분 쇠고기 짜장
193,아비노베이비데일리모이스춰로션
309,무(줄기 없는 무)
312,오뚜기황도
313,맛있는 미역국
315,옥수수 마가린(200g)
317,크린백
206,퓨어가닉허브로션
208,뉴트로지나릴렉싱바디워시
300,맥심 티오피 마스터블렌드(275ml)
452,까스명수(단품)
453,생록천(단품)
198,후레쉬랩(25cm x 50m)(3M)
200,쿠킹호일(20cm x 30m)(삼아)
201,매일유업 뼈로가는 칼슘치즈(270g)
204,맑고신선한옥수수유
212,쿠킹호일(25cm x 30m)(삼아)
334,동서현미녹차 100포
422,국순당 우국생
423,서울장수생막걸리
426,무균무때(욕실용)
430,홈스타 제습과 방충을 한번에
610,해피바스 내추럴24핸드크림
557,곰표 다목적밀가루(1kg)
585,해피바스 로즈에센스 로맨틱 바디워시
593,엘라스틴 맥시마이징 볼륨 샴푸
562,해찬들 사계절 쌈장
