date,patients
2016-06-03,0
2016-06-10,0
2016-06-17,0
2016-06-24,0
2016-07-01,0
2016-07-08,0
2016-07-15,0
2016-07-22,0
2016-07-29,0
2016-08-05,0
2016-08-12,0
2016-08-19,0
2016-08-26,0
2016-09-02,0
2016-09-09,0
2016-09-16,0
2016-09-23,0
2016-09-30,0
2016-10-07,0
2016-10-14,0
2016-10-21,0
2016-10-28,0
2016-11-04,0
2016-11-11,0
2016-11-18,0
2016-11-25,0
2016-12-02,0
2016-12-09,0
2016-12-16,0
2016-12-23,0
2016-12-30,0
2017-01-06,0
2017-01-13,0
2017-01-20,0
2017-01-27,0
2017-02-03,0
2017-02-10,0
2017-02-17,0
2017-02-24,0
2017-03-03,0
2017-03-10,0
2017-03-17,0
2017-03-24,0
2017-03-31,0
2017-04-07,0
2017-04-14,0
2017-04-21,0
2017-04-28,0
2017-05-05,0
2017-05-12,0
2017-05-19,0
2017-05-26,0
2017-06-02,0
2017-06-09,0
2017-06-16,0
2017-06-23,0
2017-06-30,0
2017-07-07,0
2017-07-14,0
2017-07-21,0
2017-07-28,0
2017-08-04,0
2017-08-11,0
2017-08-18,0
2017-08-25,0
2017-09-01,0
2017-09-08,0
2017-09-15,0
2017-09-22,0
2017-09-29,0
2017-10-06,0
2017-10-13,0
2017-10-20,0
2017-10-27,0
2017-11-03,0
2017-11-10,0
2017-11-17,0
2017-11-24,0
2017-12-01,0
2017-12-08,0
2017-12-15,0
2017-12-22,0
2017-12-29,0
2018-01-05,0
2018-01-12,0
2018-01-19,0
2018-01-26,0
2018-02-02,0
2018-02-09,0
2018-02-16,0
2018-02-23,0
2018-03-02,0
2018-03-09,0
2018-03-16,0
2018-03-23,0
2018-03-30,0
2018-04-06,0
2018-04-13,0
2018-04-20,0
2018-04-27,0
2018-05-04,0
2018-05-11,0
2018-05-18,0
2018-05-25,0
2018-06-01,0
2018-06-08,0
2018-06-15,0
2018-06-22,0
2018-06-29,0
2018-07-06,0
2018-07-13,0
2018-07-20,0
2018-07-27,0
2018-08-03,0
2018-08-10,0
2018-08-17,0
2018-08-24,0
2018-08-31,0
2018-09-07,0
2018-09-14,0
2018-09-21,0
2018-09-28,0
2018-10-05,0
2018-10-12,0
2018-10-19,0
2018-10-26,0
2018-11-02,0
2018-11-09,0
2018-11-16,0
2018-11-23,0
2018-11-30,0
2018-12-07,0
2018-12-14,0
2018-12-21,0
2018-12-28,0
2019-01-04,0
2019-01-11,0
2019-01-18,0
2019-01-25,0
2019-02-01,0
2019-02-08,0
2019-02-15,0
2019-02-22,0
2019-03-01,0
2019-03-08,0
2019-03-15,0
2019-03-22,0
2019-03-29,0
2019-04-05,0
2019-04-12,0
2019-04-19,0
2019-04-26,0
2019-05-03,0
2019-05-10,0
2019-05-17,0
2019-05-24,0
2019-05-31,0
2019-06-07,0
2019-06-14,0
2019-06-21,0
2019-06-28,0
2019-07-05,0
2019-07-12,0
2019-07-19,0
2019-07-26,0
2019-08-02,0
2019-08-09,0
2019-08-16,0
2019-08-23,0
2019-08-30,0
2019-09-06,0
2019-09-13,0
2019-09-20,0
2019-09-27,0
2019-10-04,0
2019-10-11,0
2019-10-18,0
2019-10-25,0
2019-11-01,0
2019-11-08,0
2019-11-15,0
2019-11-22,0
2019-11-29,0
2019-12-06,0
2019-12-13,0
2019-12-20,0
2019-12-27,0
2020-01-03,0
2020-01-10,0
2020-01-17,1
2020-01-24,6
2020-01-31,17
2020-02-07,4
2020-02-14,54
2020-02-21,1513
2020-02-28,4171
2020-03-06,2103
2020-03-13,696
2020-03-20,676
2020-03-27,735
2020-04-03,447
2020-04-10,190
2020-04-17,89
2020-04-24,63
2020-05-01,45
2020-05-08,181
2020-05-15,131
2020-05-22,222
2020-05-29,285
2020-06-05,317
2020-06-12,311
2020-06-19,306
2020-06-26,341
2020-07-03,389
2020-07-10,319
2020-07-17,326
2020-07-24,331
2020-07-31,230
2020-08-07,271
2020-08-14,1576
2020-08-21,2359
2020-08-28,1938
2020-09-04,1099
2020-09-11,914
2020-09-18,684
2020-09-25,548
2020-10-02,533
2020-10-09,567
2020-10-16,555
2020-10-23,728
2020-10-30,778
2020-11-06,891
2020-11-13,1666
2020-11-20,2647
2020-11-27,3448
2020-12-04,4388
2020-12-11,6359
2020-12-18,7071
2020-12-25,7208
2021-01-01,5945
2021-01-08,4045
2021-01-15,3191
2021-01-22,3011
2021-01-29,2838
2021-02-05,2670
2021-02-12,3133
2021-02-19,2948
2021-02-26,2724
2021-03-05,2959
2021-03-12,3093
2021-03-19,2985
2021-03-26,3362
2021-04-02,3961
2021-04-09,4520
2021-04-16,4549
2021-04-23,4685
2021-04-30,4173
2021-05-07,4112
2021-05-14,4485
2021-05-21,4192
2021-05-28,3847
