date,end,open,high,low,plusminus
2016-06-03,"1,171.53","1,164.90","1,172.95","1,150.89",0.69%
2016-06-10,"1,170.46","1,171.10","1,182.20","1,165.89",-0.09%
2016-06-17,"1,171.95","1,170.25","1,181.10","1,140.67",0.13%
2016-06-24,"1,150.00","1,172.26","1,189.30","1,143.89",-1.87%
2016-07-01,"1,149.80","1,151.75","1,169.90","1,145.07",-0.02%
2016-07-08,"1,138.60","1,148.95","1,152.81","1,129.39",-0.97%
2016-07-15,"1,136.35","1,137.65","1,144.76","1,133.57",-0.20%
2016-07-22,"1,112.24","1,136.80","1,144.44","1,111.44",-2.12%
2016-07-29,"1,115.27","1,111.45","1,120.30","1,102.79",0.27%
2016-08-05,"1,103.49","1,116.15","1,118.11","1,092.45",-1.06%
2016-08-12,"1,115.57","1,103.15","1,123.54","1,089.60",1.09%
2016-08-19,"1,122.52","1,116.65","1,129.61","1,107.45",0.62%
2016-08-26,"1,116.45","1,123.06","1,129.31","1,108.44",-0.54%
2016-09-02,"1,108.73","1,116.69","1,117.35","1,086.71",-0.69%
2016-09-09,"1,126.06","1,109.90","1,134.36","1,106.99",1.56%
2016-09-16,"1,104.02","1,125.89","1,126.40","1,097.08",-1.96%
2016-09-23,"1,101.91","1,104.35","1,113.90","1,091.60",-0.19%
2016-09-30,"1,115.76","1,101.81","1,118.83","1,099.34",1.26%
2016-10-07,"1,136.41","1,115.81","1,138.61","1,107.49",1.85%
2016-10-14,"1,136.21","1,136.61","1,144.51","1,118.69",-0.02%
2016-10-21,"1,147.32","1,136.15","1,149.94","1,128.83",0.98%
2016-10-28,"1,141.45","1,147.27","1,153.01","1,136.56",-0.51%
2016-11-04,"1,165.58","1,141.45","1,171.77","1,128.06",2.11%
2016-11-11,"1,181.08","1,165.40","1,186.89","1,163.67",1.33%
2016-11-18,"1,175.77","1,181.08","1,187.80","1,168.65",-0.45%
2016-11-25,"1,167.32","1,175.69","1,179.78","1,164.69",-0.72%
